Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,30%,30.1,2.9,,---,.,.,,21%,20.8,2.4,,---,.,.,,20%,19.6,1.5,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,32%,32.4,2.0,,---,.,.,,26%,26.4,2.5,,---,.,.,,30%,30.1,2.2,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,33%,33.2,4.2,,---,.,.,,28%,27.6,2.7,,---,.,.,,24%,23.7,1.4,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,35%,35.3,4.0,,---,.,.,,32%,32.1,2.5,,---,.,.,,33%,32.6,2.6,---,.,.
              STATE:Louisiana,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              STATE:Maine,,---,.,.,,DSU,.,.,,---,.,.,,25%,24.8,2.1,,---,.,.,,20%,20.5,1.6,,---,.,.,,16%,16.2,1.9,,---,.,.,,14%,14.0,1.3,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,25%,25.0,2.1,,---,.,.,,20%,20.4,1.7,,---,.,.,,16%,16.1,1.9,,---,.,.,,14%,13.5,1.4,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,25%,25.1,2.1,,---,.,.,,20%,20.2,1.8,,---,.,.,,16%,15.7,2.0,,---,.,.,,13%,13.4,1.4,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,27%,26.6,2.2,,---,.,.,,19%,18.9,2.4,,---,.,.,,18%,18.2,2.0,,---,.,.,,15%,14.7,1.3,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,23%,23.0,3.2,,---,.,.,,22%,21.6,2.4,,---,.,.,,14%,14.4,2.1,,---,.,.,,13%,13.3,1.9,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,17%,16.5,1.8,,---,.,.,,13%,13.0,1.6,,---,.,.,,11%,11.1,2.1,,---,.,.,,7%,7.4,1.9,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,27%,26.6,1.4,,---,.,.,,21%,21.4,2.8,,---,.,.,,13%,13.2,2.9,,---,.,.,,15%,14.5,2.7,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,27%,27.2,4.7,,---,.,.,,22%,21.9,3.1,,---,.,.,,24%,24.4,3.3,,---,.,.,,17%,17.2,2.4,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,31%,30.9,4.2,,---,.,.,,26%,26.5,3.5,,---,.,.,,16%,16.0,4.1,,---,.,.,,17%,17.4,2.2,---,.,.
              STATE:Maryland,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,17%,16.5,1.7,,---,.,.,,17%,16.8,2.1,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,16%,16.3,1.8,,---,.,.,,16%,16.0,1.9,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,9%,9.0,2.0,,---,.,.,,13%,12.9,3.4,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,21%,21.4,2.5,,---,.,.,,19%,18.5,2.2,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,16%,16.0,1.8,,---,.,.,,16%,15.8,1.8,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,17%,17.2,2.8,,---,.,.,,17%,17.4,2.9,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,11%,11.3,2.0,,---,.,.,,15%,14.8,2.1,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,17%,17.2,2.5,,---,.,.,,13%,13.0,1.8,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,19%,18.7,2.9,,---,.,.,,17%,17.1,3.8,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,21%,20.6,5.5,,---,.,.,,23%,22.6,3.1,---,.,.
              STATE:Massachusetts,,---,.,.,,30%,30.4,1.3,,---,.,.,,26%,26.0,1.4,,---,.,.,,21%,20.9,1.3,,---,.,.,,20%,20.5,0.9,,---,.,.,,18%,17.7,1.3,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,23%,23.0,2.4,,---,.,.,,20%,19.8,1.6,,---,.,.,,18%,18.1,2.3,,---,.,.,,17%,17.5,2.5,,---,.,.,,13%,13.1,1.6,---,.,.
                 Not Hispanic or Latino,,---,.,.,,31%,31.4,1.3,,---,.,.,,27%,26.7,1.4,,---,.,.,,21%,21.2,1.5,,---,.,.,,21%,20.9,1.1,,---,.,.,,18%,18.1,1.3,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,20%,20.5,2.9,,---,.,.,,16%,16.4,2.8,,---,.,.,,10%,9.7,2.6,,---,.,.,,19%,19.3,3.9,,---,.,.,,9%,8.8,2.6,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,33%,32.9,1.5,,---,.,.,,28%,28.0,1.5,,---,.,.,,22%,22.5,1.7,,---,.,.,,21%,21.1,1.2,,---,.,.,,19%,19.3,1.5,---,.,.
                 Female,,---,.,.,,31%,30.7,1.5,,---,.,.,,27%,27.0,1.9,,---,.,.,,22%,22.4,1.8,,---,.,.,,20%,20.1,1.4,,---,.,.,,18%,17.9,1.4,---,.,.
                 Male,,---,.,.,,30%,29.9,1.4,,---,.,.,,25%,25.0,1.4,,---,.,.,,20%,19.6,1.3,,---,.,.,,21%,20.7,0.9,,---,.,.,,18%,17.6,1.5,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,25%,25.1,1.6,,---,.,.,,20%,20.2,1.8,,---,.,.,,17%,17.4,1.8,,---,.,.,,19%,18.8,2.2,,---,.,.,,13%,12.8,1.4,---,.,.
                 10th grade,,---,.,.,,29%,29.2,1.8,,---,.,.,,22%,22.1,2.0,,---,.,.,,17%,17.1,1.6,,---,.,.,,20%,20.0,1.4,,---,.,.,,14%,14.2,2.2,---,.,.
                 11th grade,,---,.,.,,31%,31.4,2.5,,---,.,.,,28%,28.0,1.9,,---,.,.,,20%,19.8,2.5,,---,.,.,,20%,19.8,1.6,,---,.,.,,21%,21.2,2.4,---,.,.
                 12th grade,,---,.,.,,37%,36.9,2.4,,---,.,.,,35%,35.4,3.0,,---,.,.,,30%,30.0,2.7,,---,.,.,,24%,23.5,1.8,,---,.,.,,24%,23.6,2.3,---,.,.
              STATE:Michigan,,---,.,.,,34%,34.1,1.7,,---,.,.,,26%,25.7,1.6,,---,.,.,,23%,22.6,2.2,,---,.,.,,17%,17.0,1.3,,---,.,.,,18%,18.0,1.8,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,28%,28.3,5.6,,---,.,.,,32%,31.8,2.5,,---,.,.,,27%,27.3,4.4,,---,.,.,,29%,29.3,3.8,---,.,.
                 Not Hispanic or Latino,,---,.,.,,34%,33.8,1.6,,---,.,.,,26%,25.5,1.6,,---,.,.,,22%,22.3,2.2,,---,.,.,,17%,16.8,1.3,,---,.,.,,18%,17.8,1.8,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,20%,19.8,4.6,,---,.,.,,12%,12.1,1.7,,---,.,.,,10%,9.9,1.9,,---,.,.,,8%,7.6,1.9,,---,.,.,,7%,6.6,1.6,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,36%,36.3,1.7,,---,.,.,,28%,27.7,1.6,,---,.,.,,25%,24.8,2.2,,---,.,.,,18%,18.1,1.3,,---,.,.,,21%,20.6,1.8,---,.,.
                 Female,,---,.,.,,33%,33.3,1.8,,---,.,.,,27%,27.2,2.0,,---,.,.,,24%,23.7,2.1,,---,.,.,,16%,16.2,1.4,,---,.,.,,18%,17.5,1.9,---,.,.
                 Male,,---,.,.,,35%,34.9,2.5,,---,.,.,,24%,24.0,1.8,,---,.,.,,21%,21.4,2.8,,---,.,.,,18%,17.8,1.7,,---,.,.,,18%,18.4,2.0,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,32%,31.7,2.2,,---,.,.,,20%,20.3,2.4,,---,.,.,,18%,17.9,1.8,,---,.,.,,12%,12.2,1.8,,---,.,.,,14%,13.8,2.2,---,.,.
                 10th grade,,---,.,.,,30%,30.0,3.0,,---,.,.,,23%,22.8,1.7,,---,.,.,,20%,19.9,1.7,,---,.,.,,19%,18.9,2.7,,---,.,.,,16%,16.1,3.2,---,.,.
                 11th grade,,---,.,.,,40%,40.0,2.6,,---,.,.,,26%,26.3,2.0,,---,.,.,,23%,23.3,4.6,,---,.,.,,17%,16.7,1.8,,---,.,.,,17%,17.4,2.4,---,.,.
                 12th grade,,---,.,.,,36%,35.8,2.0,,---,.,.,,35%,35.3,3.0,,---,.,.,,31%,30.6,4.7,,---,.,.,,22%,21.9,2.6,,---,.,.,,27%,27.0,3.4,---,.,.
              STATE:Minnesota,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
