Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                  Less than 9th grade,1,28%,27.8,7.3,1,40%,40.0,5.2,1,19%,19.2,3.9,1,34%,33.9,8.8,1,25%,24.8,4.6,1,33%,32.8,5.7,1,45%,44.9,7.0,1,27%,27.4,3.6,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,31%,30.7,4.2,1,32%,32.2,3.8,1,33%,32.7,4.5,1,29%,28.8,3.2,1,35%,35.0,4.0,1,35%,35.3,3.4,1,34%,34.4,3.2,1,34%,34.3,3.7,---,.,.,---,.,.,---,.,.
               High school graduate,1,21%,21.1,1.8,1,21%,21.0,1.9,1,27%,26.9,2.0,1,27%,27.2,1.8,1,27%,27.2,1.9,1,34%,33.7,1.8,1,32%,32.2,1.7,1,36%,35.8,2.1,---,.,.,---,.,.,---,.,.
               At least some college,1,20%,19.6,1.6,1,23%,23.1,1.6,1,20%,20.3,1.4,1,24%,24.2,1.4,1,25%,24.6,1.3,1,26%,26.5,1.3,1,28%,27.6,1.3,1,30%,29.9,1.4,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,19%,19.4,2.5,1,21%,21.1,2.3,1,17%,16.9,1.8,1,17%,17.2,1.7,1,20%,19.5,1.7,1,23%,22.7,1.8,1,22%,22.4,1.8,1,26%,26.3,1.8,---,.,.,---,.,.,---,.,.
               Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.5,2.2,1,36%,36.0,3.5,1,37%,37.0,2.3,1,37%,36.7,2.4,1,41%,41.4,2.9,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.4,1.1,1,24%,24.3,1.1,1,26%,26.1,1.1,1,27%,26.9,1.1,1,28%,27.6,1.3,---,.,.,---,.,.,---,.,.
            Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Age Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Persons aged 20 to 39 years (not age adjusted),1,21%,20.5,1.8,1,23%,23.5,2.0,1,22%,21.9,1.9,1,22%,22.1,1.6,1,26%,26.2,1.9,1,29%,29.1,1.1,1,29%,28.6,1.8,1,29%,28.9,2.3,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,25%,25.4,1.9,1,26%,25.5,1.8,1,29%,29.2,1.9,1,29%,28.7,1.6,1,28%,28.4,1.5,1,33%,33.2,1.6,1,32%,32.1,1.5,1,37%,36.7,1.6,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,19%,19.4,1.8,1,19%,19.5,1.8,1,22%,21.7,1.9,1,24%,23.7,1.8,1,23%,23.0,1.6,1,23%,23.3,1.5,1,27%,27.1,1.5,1,27%,26.7,1.5,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,36%,36.0,3.1,1,31%,31.0,2.5,1,31%,31.2,2.3,1,35%,35.3,2.3,,DNC,.,.,1,DNC,39.7,2.6,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,20%,19.9,1.3,1,22%,22.3,1.2,1,23%,22.8,1.2,1,25%,24.8,1.1,,DNC,.,.,1,DNC,25.5,1.3,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,47%,47.5,7.0,1,56%,55.7,4.3,1,53%,52.6,7.8,1,57%,57.1,5.4,1,48%,47.8,4.8,1,52%,51.9,5.7,1,62%,61.8,4.5,1,52%,52.0,5.8,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,21%,20.6,1.1,1,21%,20.8,1.1,1,23%,22.6,1.1,1,22%,22.2,1.0,1,24%,24.0,1.0,1,27%,26.9,1.0,1,27%,26.9,1.0,1,28%,28.4,1.2,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,33%,32.7,2.2,,DNC,.,.,1,41%,41.0,2.4,,DNC,.,.,1,44%,43.8,2.3,,DNC,.,.,1,DNC,46.4,2.6,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,18%,17.7,1.2,,DNC,.,.,1,18%,18.0,1.0,,DNC,.,.,1,23%,22.9,1.1,,DNC,.,.,1,DNC,23.4,1.3,---,.,.,---,.,.,---,.,.
            STATE:Alaska,1,22%,21.5,1.4,1,21%,21.4,1.4,1,22%,21.9,1.3,1,23%,23.2,1.2,1,23%,22.9,1.3,1,24%,23.9,1.2,1,24%,24.0,1.2,1,27%,26.7,1.4,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",28%,28.0,3.1,"3,1",32%,32.3,3.2,"3,1",30%,29.8,3.3,1,29%,29.0,2.7,1,35%,34.8,3.3,1,29%,28.8,2.4,1,28%,27.7,2.8,1,30%,30.1,3.5,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,6.1,3.7,"3,1",DSU,17.4,4.9,"3,1",DSU,1.5,1.2,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,5.3,3.2,1,DSU,23.3,4.9,1,DSU,2.2,1.6,1,DSU,9.6,5.0,1,DSU,5.1,3.9,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.7,8.5,1,DSU,33.4,9.8,1,DSU,14.1,7.7,1,DSU,22.5,11.9,1,DSU,62.5,13.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",DSU,20.7,5.8,"3,1",DSU,8.7,3.2,"3,1",DSU,35.4,7.9,1,DSU,43.3,9.2,1,DSU,28.8,8.1,1,DSU,16.3,5.2,1,DSU,23.7,7.8,1,DSU,24.1,10.3,---,.,.,---,.,.,---,.,.
               White only,"3,1",21%,20.8,1.5,"3,1",19%,19.1,1.5,"3,1",20%,20.4,1.5,1,21%,21.2,1.4,1,20%,19.5,1.4,1,24%,24.1,1.4,1,23%,23.3,1.4,1,26%,26.0,1.6,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,33.4,6.7,1,24%,24.3,5.7,1,38%,38.1,5.9,1,23%,22.5,6.0,1,27%,26.8,6.2,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,41%,41.4,7.1,1,30%,29.5,6.7,1,DSU,34.7,6.8,1,22%,21.6,6.0,1,23%,22.8,6.5,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.3,6.4,1,DSU,38.0,6.5,1,DSU,51.6,4.6,1,DSU,17.3,14.4,1,DSU,57.0,9.4,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,25.1,6.8,1,DSU,26.1,7.4,1,DSU,15.2,5.0,1,DSU,18.5,4.1,1,DSU,22.3,6.5,1,23%,22.8,5.5,1,30%,30.3,7.3,1,37%,37.0,7.0,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,21%,21.4,1.4,1,21%,21.1,1.4,1,22%,22.1,1.4,1,23%,23.3,1.2,1,23%,22.6,1.3,1,24%,24.0,1.2,1,24%,23.6,1.2,1,26%,26.4,1.4,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",DSU,18.5,6.2,"3,1",DSU,7.6,3.2,"3,1",DSU,36.4,8.2,1,DSU,43.2,9.4,1,DSU,28.4,7.8,1,DSU,16.3,5.2,1,DSU,22.2,7.7,1,DSU,26.0,10.6,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",21%,20.8,1.5,"3,1",19%,19.2,1.5,"3,1",21%,20.5,1.5,1,21%,21.3,1.4,1,20%,19.6,1.4,1,24%,23.8,1.4,1,23%,23.3,1.4,1,26%,25.8,1.6,---,.,.,---,.,.,---,.,.
               Female,1,21%,21.4,1.8,1,22%,21.6,1.9,1,22%,22.4,2.0,1,27%,27.3,1.8,1,21%,21.2,1.8,1,25%,25.3,1.7,1,26%,25.7,1.7,1,27%,26.7,1.8,---,.,.,---,.,.,---,.,.
               Male,1,21%,21.3,1.9,1,21%,21.1,1.9,1,21%,21.4,1.8,1,20%,19.8,1.5,1,25%,24.5,1.9,1,23%,22.8,1.7,1,23%,22.6,1.8,1,27%,26.7,2.1,---,.,.,---,.,.,---,.,.
               Less than high school,1,24%,24.4,4.5,1,29%,29.4,5.0,1,39%,38.6,5.9,1,33%,33.1,4.7,1,25%,25.2,4.5,1,30%,30.3,4.5,1,31%,30.5,4.4,1,25%,24.8,4.6,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,39%,39.1,9.2,1,33%,32.9,6.1,1,DSU,46.4,5.7,1,36%,35.5,6.7,1,17%,16.8,3.8,1,DSU,20.9,6.3,1,38%,38.0,6.3,1,DSU,25.7,14.0,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,21%,20.8,5.3,1,29%,28.7,5.8,1,41%,41.0,6.4,1,33%,33.2,5.4,1,26%,26.3,5.5,1,31%,30.9,5.1,1,26%,26.2,4.5,1,26%,25.8,5.2,---,.,.,---,.,.,---,.,.
               High school graduate,1,24%,24.1,2.5,1,21%,21.1,2.5,1,23%,23.5,2.7,1,31%,30.7,2.8,1,29%,29.0,2.6,1,26%,25.9,2.3,1,28%,28.2,2.5,1,33%,33.3,2.9,---,.,.,---,.,.,---,.,.
               At least some college,1,21%,20.9,1.8,1,21%,21.1,1.9,1,21%,21.4,1.7,1,21%,20.6,1.5,1,21%,20.8,1.7,1,25%,25.5,1.8,1,24%,24.0,1.7,1,27%,26.6,1.8,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,21%,20.6,2.5,1,19%,19.3,2.7,1,19%,19.3,2.1,1,18%,17.9,1.9,1,17%,16.8,2.1,1,22%,22.0,2.1,1,20%,20.0,2.1,1,22%,21.8,2.3,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.6,2.7,,DNC,.,.,1,33%,33.4,2.9,1,30%,30.1,3.2,1,33%,32.6,3.0,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,20.2,1.2,,DNC,.,.,1,21%,21.1,1.3,1,23%,22.6,1.4,1,24%,24.4,1.6,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,18%,18.2,1.9,1,16%,16.1,1.7,1,17%,16.9,1.7,1,17%,17.4,1.6,1,20%,20.4,2.2,1,28%,27.5,1.6,1,19%,19.0,1.8,1,21%,21.1,2.0,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,27%,27.1,2.3,1,26%,26.0,2.2,1,25%,25.1,2.3,1,26%,26.5,1.8,1,27%,26.7,2.1,1,26%,26.3,1.9,1,26%,26.4,1.8,1,30%,30.5,2.2,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,19%,19.5,3.1,1,23%,23.3,3.9,1,27%,27.4,3.5,1,29%,29.4,3.6,1,23%,22.8,3.3,1,31%,31.3,2.9,1,29%,28.8,3.1,1,30%,30.5,3.3,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,31%,31.2,3.5,1,37%,36.9,3.8,,DNC,.,.,1,27%,26.5,2.5,,DNC,.,.,1,DNC,41.2,3.7,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,18%,18.1,1.4,1,20%,20.2,1.4,,DNC,.,.,1,22%,21.9,1.4,,DNC,.,.,1,DNC,24.1,1.5,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,59%,59.1,8.0,1,67%,66.8,5.8,1,40%,40.0,6.4,1,52%,52.3,7.5,1,48%,47.8,6.4,1,30%,29.5,5.6,1,68%,67.8,6.1,1,42%,42.0,6.1,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,20%,20.3,1.3,1,20%,19.6,1.3,1,21%,20.7,1.3,1,22%,22.1,1.2,1,22%,21.7,1.3,1,23%,23.3,1.3,1,22%,21.9,1.2,1,24%,23.6,1.4,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,33%,32.7,3.3,,DNC,.,.,1,38%,38.0,3.2,,DNC,.,.,1,33%,33.5,2.8,,DNC,.,.,1,DNC,42.1,3.3,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,17%,17.5,1.5,,DNC,.,.,1,19%,18.7,1.4,,DNC,.,.,1,20%,20.4,1.4,,DNC,.,.,1,DNC,23.5,1.5,---,.,.,---,.,.,---,.,.
            STATE:Arizona,1,14%,13.9,1.6,1,13%,12.6,1.2,1,20%,20.2,1.6,1,19%,19.4,1.1,1,20%,19.8,1.1,1,21%,20.6,1.1,1,22%,21.6,1.2,1,24%,23.6,1.3,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",70%,70.5,6.4,"3,1",DSU,26.4,7.4,"3,1",29%,28.6,5.0,1,44%,44.5,5.6,1,26%,26.3,4.9,1,34%,33.8,4.6,1,34%,34.5,5.0,1,41%,40.6,5.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,18.2,6.0,"3,1",DSU,0.0,0.0,"3,1",DSU,24.4,8.4,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,7.2,4.9,1,DSU,0.5,0.6,1,DSU,14.5,9.6,1,DSU,1.5,1.8,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.9,7.9,1,DSU,17.4,7.5,1,DSU,10.1,5.4,1,DSU,45.0,8.0,1,DSU,46.7,11.5,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",DSU,27.3,7.7,"3,1",DSU,11.8,4.7,"3,1",DSU,30.3,5.4,1,DSU,18.2,3.7,1,DSU,21.6,6.2,1,34%,34.4,6.6,1,DSU,31.3,7.8,1,35%,35.1,6.9,---,.,.,---,.,.,---,.,.
               White only,"3,1",9%,9.2,1.2,"3,1",10%,10.4,1.2,"3,1",18%,18.2,1.6,1,17%,17.5,1.2,1,19%,18.6,1.2,1,19%,19.1,1.2,1,21%,21.0,1.6,1,22%,21.9,1.5,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,21.7,5.9,1,DSU,40.4,9.1,1,DSU,36.2,6.9,1,DSU,24.5,6.7,1,DSU,37.7,11.2,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,14.3,6.3,1,DSU,39.2,10.1,1,DSU,22.8,9.5,1,DSU,36.5,7.3,1,DSU,56.7,13.4,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.7,0.0,1,DSU,100.0,0.0,1,DSU,35.3,0.0,1,DSU,0.0,0.0,1,DSU,41.0,13.1,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,26%,25.6,5.0,1,18%,18.3,3.0,1,27%,27.4,3.8,1,24%,24.4,2.7,1,21%,21.0,2.8,1,28%,27.6,3.2,1,29%,29.2,3.4,1,32%,31.8,3.1,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,11%,10.8,1.4,1,11%,10.6,1.2,1,18%,18.2,1.6,1,18%,18.4,1.2,1,20%,19.7,1.2,1,19%,19.4,1.2,1,20%,20.4,1.3,1,22%,22.4,1.5,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",DSU,31.3,7.8,"3,1",DSU,10.5,4.6,"3,1",DSU,31.6,6.0,1,DSU,18.7,3.9,1,DSU,21.6,6.2,1,DSU,36.1,6.8,1,DSU,31.6,7.9,1,36%,36.4,8.1,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",9%,9.0,1.2,"3,1",11%,10.7,1.3,"3,1",18%,17.6,1.6,1,18%,17.9,1.2,1,19%,19.0,1.3,1,19%,18.6,1.2,1,19%,19.3,1.4,1,21%,21.4,1.6,---,.,.,---,.,.,---,.,.
               Female,1,14%,14.1,2.5,1,11%,10.6,1.3,1,19%,18.7,1.9,1,18%,18.1,1.4,1,17%,16.7,1.3,1,18%,18.3,1.3,1,20%,20.4,1.4,1,23%,23.3,1.7,---,.,.,---,.,.,---,.,.
               Male,1,14%,13.9,1.8,1,14%,14.2,1.9,1,22%,21.7,2.3,1,21%,20.6,1.6,1,23%,22.9,1.8,1,23%,22.7,1.7,1,23%,22.8,2.0,1,24%,23.9,2.0,---,.,.,---,.,.,---,.,.
               Less than high school,1,34%,34.2,6.2,1,19%,18.9,4.5,1,27%,26.8,5.3,1,25%,24.8,3.6,1,26%,25.8,4.3,1,28%,27.9,4.0,1,25%,24.8,3.7,1,32%,32.4,4.0,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,DSU,37.3,7.1,1,DSU,20.5,5.6,1,DSU,22.9,4.9,1,34%,34.2,6.4,1,31%,31.0,6.8,1,DSU,25.4,7.0,1,27%,27.2,6.4,1,37%,36.9,7.3,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,26%,26.4,5.1,1,DSU,18.5,5.9,1,27%,27.1,6.3,1,20%,20.3,4.0,1,24%,23.6,4.8,1,30%,30.3,4.5,1,23%,23.2,4.4,1,30%,29.7,4.5,---,.,.,---,.,.,---,.,.
               High school graduate,1,9%,8.6,1.4,1,14%,14.4,2.3,1,25%,25.5,3.6,1,22%,22.2,2.2,1,22%,22.3,2.2,1,27%,27.5,2.6,1,27%,27.0,2.5,1,27%,27.4,3.1,---,.,.,---,.,.,---,.,.
               At least some college,1,14%,13.6,2.0,1,11%,10.9,1.6,1,17%,17.4,1.6,1,19%,18.8,1.4,1,20%,20.2,1.4,1,18%,18.2,1.2,1,20%,20.3,1.4,1,23%,22.5,1.5,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,13%,13.3,2.6,1,12%,12.0,2.5,1,13%,13.4,2.0,1,15%,15.4,1.8,1,19%,19.0,2.0,1,17%,16.7,1.7,1,16%,16.3,1.7,1,19%,19.2,2.0,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.9,2.4,1,25%,24.8,2.5,1,29%,29.0,3.1,1,37%,36.7,4.9,1,31%,30.8,3.1,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,17%,16.6,1.1,1,18%,18.2,1.3,1,18%,18.3,1.2,1,19%,18.7,1.2,1,21%,21.4,1.4,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,12%,12.0,2.2,1,11%,11.4,2.0,1,18%,18.4,2.1,1,16%,15.8,1.5,1,17%,16.7,1.9,1,22%,21.9,1.3,1,21%,21.3,2.4,1,21%,21.1,2.5,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,18%,17.6,3.6,1,16%,15.8,2.2,1,24%,23.6,3.2,1,25%,24.9,2.0,1,24%,24.5,2.0,1,23%,23.0,1.8,1,24%,23.9,1.9,1,29%,28.5,2.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,10%,10.1,1.8,1,10%,10.1,1.7,1,19%,18.9,2.8,1,17%,17.0,1.8,1,18%,17.8,1.7,1,20%,20.5,1.7,1,19%,18.6,1.7,1,20%,19.9,1.6,---,.,.,---,.,.,---,.,.
               Persons with arthritis,1,19%,18.5,3.7,,DNC,.,.,1,26%,26.4,4.3,1,28%,28.5,3.4,1,22%,22.1,2.4,1,28%,28.2,3.1,1,30%,30.5,3.4,1,DNC,24.9,2.7,---,.,.,---,.,.,---,.,.
               Persons without arthritis,1,13%,12.8,1.7,,DNC,.,.,1,18%,18.4,1.6,1,17%,16.8,1.1,1,19%,18.8,1.3,1,18%,18.4,1.2,1,19%,19.2,1.4,1,DNC,19.1,1.4,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,DSU,29.8,6.8,1,45%,44.7,5.7,1,37%,37.5,7.9,1,52%,52.4,6.3,1,46%,46.1,6.6,1,48%,47.5,5.1,1,58%,57.5,5.7,1,44%,43.8,6.4,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,13%,13.4,1.6,1,12%,11.6,1.2,1,18%,18.3,1.4,1,18%,17.5,1.1,1,18%,18.5,1.1,1,19%,19.0,1.1,1,20%,19.6,1.3,1,21%,20.9,1.3,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,18%,17.9,3.7,,DNC,.,.,1,36%,35.5,3.1,,DNC,.,.,1,43%,42.8,3.8,,DNC,.,.,1,DNC,34.8,3.3,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,12%,11.8,1.3,,DNC,.,.,1,15%,14.7,1.1,,DNC,.,.,1,16%,15.9,1.1,,DNC,.,.,1,DNC,18.3,1.3,---,.,.,---,.,.,---,.,.
            STATE:Arkansas,1,20%,20.1,0.9,1,23%,23.1,0.9,1,24%,23.9,0.9,1,23%,23.0,0.9,1,24%,24.3,0.8,1,26%,25.7,0.8,1,26%,26.3,0.9,1,27%,27.4,0.8,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",DSU,11.9,4.3,"3,1",DSU,25.9,6.6,"3,1",DSU,34.7,7.5,1,DSU,19.4,7.0,1,DSU,24.3,6.4,1,23%,23.1,5.8,1,36%,36.4,7.3,1,32%,31.9,6.2,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,0.0,0.0,"3,1",DSU,5.7,5.2,"3,1",DSU,14.4,2.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,6.8,6.1,1,DSU,5.0,4.4,1,DSU,18.3,8.5,1,DSU,12.8,8.1,1,DSU,9.5,6.1,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.2,16.4,1,DSU,28.1,0.0,1,DSU,20.5,0.0,1,DSU,96.0,5.2,1,DSU,63.1,0.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",30%,30.3,3.0,"3,1",34%,34.1,3.2,"3,1",33%,32.8,2.7,1,36%,36.0,3.2,1,36%,35.6,3.1,1,36%,35.5,2.7,1,40%,39.6,3.1,1,36%,36.4,2.5,---,.,.,---,.,.,---,.,.
               White only,"3,1",19%,19.3,1.0,"3,1",22%,22.2,1.0,"3,1",23%,22.9,1.0,1,21%,21.4,1.0,1,23%,23.2,0.9,1,24%,24.5,0.9,1,25%,24.5,0.9,1,26%,26.4,0.9,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.1,6.5,1,23%,22.9,4.3,1,24%,24.0,4.6,1,28%,28.3,5.5,1,39%,39.1,6.1,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,44%,44.0,7.3,1,24%,24.1,4.6,1,23%,23.4,4.6,1,23%,22.6,5.7,1,38%,37.5,6.9,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,44.4,0.0,1,DSU,22.5,15.0,1,DSU,27.5,19.9,1,DSU,62.3,15.4,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,13.5,4.9,1,17%,17.4,4.7,1,DSU,18.2,4.9,1,23%,22.7,5.3,1,28%,28.1,5.2,1,22%,21.8,5.0,1,29%,29.1,5.5,1,22%,22.4,3.7,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,20%,20.2,0.9,1,23%,23.1,0.9,1,24%,24.0,1.0,1,23%,22.9,0.9,1,24%,24.1,0.9,1,26%,25.6,0.8,1,26%,26.2,0.9,1,28%,27.8,0.8,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",30%,30.4,3.0,"3,1",35%,35.0,3.3,"3,1",34%,33.5,2.8,1,37%,37.5,3.2,1,36%,36.0,3.1,1,37%,36.6,2.9,1,39%,39.4,3.1,1,36%,36.2,2.6,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",19%,19.4,1.0,"3,1",22%,22.2,1.0,"3,1",23%,22.9,1.0,1,21%,21.2,1.0,1,23%,23.1,0.9,1,24%,24.4,0.9,1,24%,24.5,0.9,1,27%,26.7,0.9,---,.,.,---,.,.,---,.,.
               Female,1,19%,18.9,1.2,1,23%,23.0,1.2,1,23%,23.3,1.2,1,23%,22.7,1.2,1,25%,24.6,1.1,1,25%,25.2,1.0,1,25%,25.2,1.1,1,27%,26.9,1.0,---,.,.,---,.,.,---,.,.
               Male,1,21%,21.4,1.4,1,23%,23.2,1.4,1,24%,24.5,1.5,1,23%,23.1,1.4,1,24%,23.8,1.3,1,26%,26.1,1.3,1,27%,27.5,1.4,1,28%,27.7,1.2,---,.,.,---,.,.,---,.,.
               Less than high school,1,29%,28.8,2.8,1,30%,29.5,3.0,1,34%,34.0,3.4,1,33%,33.1,3.5,1,30%,29.6,3.1,1,34%,33.8,2.9,1,30%,30.0,2.7,1,32%,31.8,3.0,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,27%,26.7,5.1,1,29%,28.5,6.2,1,40%,39.9,8.0,1,24%,23.5,6.1,1,27%,26.7,5.8,1,39%,38.9,6.0,1,27%,26.6,5.6,1,22%,22.0,4.4,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,29%,28.8,3.2,1,30%,29.8,3.3,1,33%,32.8,3.9,1,35%,35.4,3.8,1,29%,29.0,3.5,1,32%,32.4,3.2,1,31%,30.9,3.2,1,35%,35.1,3.5,---,.,.,---,.,.,---,.,.
