Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,75%,74.7,.,,---,.,.,,73%,72.9,.,,---,.,.,,73%,72.9,.,,---,.,.,,73%,72.9,.,---,.,.,---,.,.
            STATE:New York,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,83%,83.3,.,,---,.,.,,85%,84.6,.,,---,.,.,,88%,87.6,.,,---,.,.,,88%,87.6,.,---,.,.,---,.,.
            STATE:North Carolina,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,95%,95.4,.,,---,.,.,,96%,95.6,.,,---,.,.,,96%,95.8,.,,---,.,.,,96%,96.2,.,---,.,.,---,.,.
            STATE:North Dakota,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,88%,87.6,.,,---,.,.,,88%,87.9,.,,---,.,.,,89%,88.6,.,,---,.,.,,89%,89.3,.,---,.,.,---,.,.
            STATE:Ohio,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,73%,73.1,.,,---,.,.,,73%,73.0,.,,---,.,.,,74%,73.5,.,,---,.,.,,74%,73.5,.,---,.,.,---,.,.
            STATE:Oklahoma,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,17%,17.2,.,,---,.,.,,19%,19.4,.,,---,.,.,,19%,18.8,.,,---,.,.,,27%,27.4,.,---,.,.,---,.,.
            STATE:Oregon,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,54%,54.2,.,,---,.,.,,52%,52.0,.,,---,.,.,,54%,54.0,.,,---,.,.,,54%,54.0,.,---,.,.,---,.,.
            STATE:Pennsylvania,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,85%,85.1,.,,---,.,.,,88%,88.3,.,,---,.,.,,85%,84.6,.,,---,.,.,,85%,84.6,.,---,.,.,---,.,.
            STATE:Rhode Island,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,91%,91.2,.,,---,.,.,,91%,91.4,.,,---,.,.,,94%,94.4,.,,---,.,.,,95%,94.6,.,---,.,.,---,.,.
            STATE:South Carolina,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
