Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.8,10.4,1,DSU,8.4,8.0,1,DSU,22.7,6.8,1,DSU,13.2,9.8,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,8.5,6.3,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.3,5.6,1,36%,36.3,5.4,1,36%,35.6,6.4,1,36%,36.0,5.2,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,31.8,1.6,1,34%,33.9,1.6,1,22%,22.0,1.6,1,35%,35.0,1.9,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.1,5.5,1,32%,31.5,5.2,1,29%,28.9,6.0,1,37%,36.8,6.2,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.3,1.6,1,35%,35.3,1.8,1,21%,21.4,1.7,1,36%,35.6,2.1,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,33.4,2.0,1,36%,35.7,2.0,1,24%,23.6,2.0,1,38%,38.1,2.3,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.6,2.2,1,32%,32.2,2.4,1,24%,23.8,2.8,1,32%,31.6,2.8,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.4,5.7,1,37%,37.0,6.1,1,34%,34.0,7.6,1,40%,39.9,7.9,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,28.0,2.9,1,29%,29.0,2.6,1,24%,24.4,2.9,1,29%,28.7,3.1,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,35.5,1.9,1,38%,38.1,1.8,1,23%,23.3,1.8,1,40%,40.0,2.3,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,38.6,3.6,1,38%,37.6,3.7,1,29%,29.3,3.8,1,38%,38.5,3.5,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.1,1.7,1,33%,32.9,1.7,1,22%,21.8,1.9,1,33%,33.4,2.1,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,49%,49.2,7.8,1,26%,26.4,1.8,1,29%,29.0,1.9,1,21%,20.7,2.1,1,28%,28.3,2.2,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,47%,47.3,5.9,1,50%,50.2,2.4,1,49%,49.0,2.1,1,32%,32.4,2.1,1,54%,53.8,2.3,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,44%,44.2,5.1,1,43%,42.6,5.5,1,46%,45.7,5.4,1,48%,48.3,5.0,---,.,.,---,.,.
              STATE:Delaware,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.0,1.8,1,38%,37.8,2.7,1,28%,27.8,2.1,1,36%,36.0,2.5,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.9,12.8,1,DSU,2.6,3.0,1,DSU,23.9,14.4,1,DSU,62.8,17.5,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,49.2,12.4,1,DSU,33.0,3.1,1,DSU,0.0,0.0,1,DSU,28.8,19.4,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,63.9,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.9,4.6,1,40%,40.1,6.1,1,26%,26.1,4.5,1,39%,39.4,6.5,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.8,2.1,1,37%,36.8,3.0,1,27%,27.2,2.4,1,35%,35.1,3.0,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.4,18.0,1,DSU,44.6,16.4,1,DSU,36.6,14.7,1,DSU,34.7,8.7,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.9,16.1,1,DSU,73.7,16.9,1,DSU,7.5,5.1,1,DSU,28.1,8.0,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,56.2,9.6,1,DSU,36.1,0.0,1,DSU,77.7,12.0,1,DSU,56.5,18.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,15.7,7.9,1,DSU,14.4,7.8,1,DSU,62.2,11.2,1,DSU,49.4,12.9,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.6,1.9,1,38%,38.4,2.8,1,26%,26.4,2.0,1,35%,35.5,2.6,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,23.2,4.6,1,42%,42.2,6.2,1,26%,26.1,4.5,1,40%,39.6,6.6,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.1,2.1,1,37%,37.1,3.1,1,26%,26.3,2.3,1,35%,34.9,3.0,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.2,2.3,1,41%,40.5,3.3,1,29%,28.9,2.8,1,43%,42.7,3.4,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.9,2.8,1,35%,34.8,4.3,1,27%,26.8,3.1,1,29%,29.4,3.5,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.6,5.1,1,41%,41.3,8.2,1,25%,24.9,6.4,1,DSU,22.7,6.8,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,25.1,3.0,1,38%,38.1,5.2,1,29%,28.6,3.4,1,24%,24.0,2.9,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.6,2.4,1,42%,42.3,3.4,1,29%,29.1,2.8,1,49%,49.4,3.7,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.0,4.0,1,44%,43.8,5.7,1,42%,41.8,4.3,1,31%,31.3,3.4,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.0,2.1,1,36%,36.3,3.1,1,24%,23.7,2.3,1,36%,36.4,3.2,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,51%,51.0,10.0,1,24%,23.8,2.2,1,33%,32.9,3.3,1,25%,25.2,2.5,1,30%,29.8,3.3,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,59%,58.8,5.9,1,45%,45.2,2.9,1,51%,51.2,3.9,1,33%,33.4,2.6,1,53%,52.7,3.6,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,36.2,5.6,1,58%,58.1,6.1,1,40%,39.8,5.8,1,47%,47.0,6.3,---,.,.,---,.,.
              STATE:District of Columbia,,DNC,.,.,1,32%,31.6,2.9,,DNC,.,.,1,29%,28.7,2.7,1,26%,25.9,2.6,1,28%,27.7,2.6,,DNC,.,.,1,24%,24.2,2.1,1,33%,33.4,2.2,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,73.0,7.8,1,DSU,57.3,34.6,1,DSU,63.9,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,22.4,15.4,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,36.1,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.0,11.0,1,DSU,0.0,0.0,1,DSU,68.6,13.9,,DNC,.,.,1,DSU,40.7,8.3,1,DSU,15.7,9.9,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,17.2,12.7,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",31%,31.1,3.3,,DNC,.,.,1,26%,26.3,3.7,1,23%,22.7,3.1,1,23%,23.2,3.6,,DNC,.,.,1,23%,23.2,2.7,1,30%,29.6,3.2,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",37%,36.6,5.7,,DNC,.,.,1,36%,35.9,4.3,1,35%,35.4,5.1,1,30%,30.2,3.8,,DNC,.,.,1,27%,27.1,3.5,1,44%,44.4,3.5,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,21.0,11.0,1,DSU,5.0,5.5,1,DSU,27.8,10.2,,DNC,.,.,1,DSU,5.4,5.2,1,DSU,29.8,19.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,12.1,10.4,,DNC,.,.,1,DSU,16.6,11.0,,DNC,.,.,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,66.7,31.4,1,DSU,17.2,15.4,1,DSU,20.4,9.7,,DNC,.,.,1,DSU,7.7,7.5,1,DSU,63.9,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,7.9,6.5,,DNC,.,.,1,DSU,14.4,5.7,1,DSU,40.0,16.0,1,DSU,36.8,12.4,,DNC,.,.,1,DSU,34.5,8.5,1,DSU,32.9,7.0,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,32%,31.8,2.9,,DNC,.,.,1,30%,29.7,2.9,1,25%,24.8,2.3,1,27%,26.6,2.6,,DNC,.,.,1,23%,22.8,2.2,1,34%,34.0,2.3,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",31%,31.5,3.4,,DNC,.,.,1,26%,26.0,3.7,1,23%,22.7,3.1,1,23%,23.0,3.6,,DNC,.,.,1,23%,22.9,2.7,1,30%,30.2,3.2,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",36%,35.8,5.8,,DNC,.,.,1,38%,37.7,4.5,1,31%,31.5,3.4,1,29%,28.6,3.5,,DNC,.,.,1,24%,23.8,3.4,1,44%,43.9,3.5,---,.,.,---,.,.
                 Female,,DNC,.,.,1,31%,30.5,3.7,,DNC,.,.,1,26%,26.0,3.6,1,26%,25.6,3.1,1,27%,26.9,3.2,,DNC,.,.,1,24%,24.1,2.4,1,36%,35.7,2.8,---,.,.,---,.,.
                 Male,,DNC,.,.,1,33%,33.3,4.2,,DNC,.,.,1,32%,32.3,4.3,1,26%,26.2,4.2,1,28%,28.2,4.1,,DNC,.,.,1,24%,24.1,3.3,1,31%,30.7,3.6,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,DSU,15.8,4.6,,DNC,.,.,1,DSU,14.9,6.3,1,DSU,48.7,10.6,1,DSU,25.5,10.4,,DNC,.,.,1,26%,26.0,6.8,1,31%,31.1,7.9,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,32%,31.5,5.4,,DNC,.,.,1,34%,33.7,5.9,1,21%,20.8,4.4,1,22%,21.8,4.3,,DNC,.,.,1,21%,20.9,3.6,1,31%,31.5,5.3,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,29%,29.5,3.7,,DNC,.,.,1,28%,27.9,2.9,1,28%,28.0,2.8,1,28%,28.2,3.0,,DNC,.,.,1,25%,25.0,2.2,1,35%,35.4,2.5,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,36.5,8.4,1,34%,33.6,7.9,1,34%,33.9,5.6,,DNC,.,.,1,28%,27.8,5.2,1,37%,36.5,4.7,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.5,2.9,1,24%,24.1,2.8,1,26%,25.5,2.9,,DNC,.,.,1,24%,23.7,2.3,1,32%,32.0,2.6,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,31%,31.4,3.7,,DNC,.,.,1,25%,25.0,3.3,1,DSU,44.2,13.6,1,25%,24.9,3.2,,DNC,.,.,1,21%,21.2,2.7,1,30%,30.0,2.8,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,32%,31.9,4.4,,DNC,.,.,1,37%,37.4,3.7,1,51%,51.2,7.9,1,35%,34.5,3.7,,DNC,.,.,1,32%,32.4,2.6,1,43%,42.5,3.2,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,DSU,56.3,7.5,,DNC,.,.,1,45%,44.9,8.6,1,48%,48.4,10.8,1,48%,48.0,9.1,,DNC,.,.,1,27%,27.4,5.5,1,37%,37.4,6.2,---,.,.,---,.,.
              STATE:Florida,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.9,1.5,1,22%,22.3,1.7,,DNC,.,.,1,18%,18.3,1.4,1,22%,21.8,1.8,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,3.1,3.2,1,DSU,24.9,6.3,,DNC,.,.,1,DSU,50.2,14.1,1,DSU,6.3,3.1,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,78.5,11.9,1,DSU,12.3,11.2,,DNC,.,.,1,DSU,12.5,9.3,1,DSU,27.5,7.1,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,23.9,21.2,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,4.6,6.1,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,27.3,4.3,1,19%,18.7,3.7,,DNC,.,.,1,14%,14.1,2.5,1,23%,23.1,5.6,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.1,1.6,1,22%,21.8,1.9,,DNC,.,.,1,18%,17.9,1.7,1,22%,21.9,1.9,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.5,10.5,1,DSU,70.6,14.5,,DNC,.,.,1,DSU,19.3,5.9,1,DSU,5.5,3.6,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.9,10.9,1,DSU,70.6,14.5,,DNC,.,.,1,DSU,16.2,6.5,1,DSU,14.7,9.3,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.5,4.1,1,20%,20.1,4.7,,DNC,.,.,1,19%,18.7,3.2,1,22%,21.6,4.8,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.4,1.6,1,23%,22.6,1.8,,DNC,.,.,1,18%,18.1,1.6,1,21%,21.4,1.8,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.2,4.3,1,19%,18.6,3.7,,DNC,.,.,1,14%,14.1,2.7,1,20%,19.8,4.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,21.9,1.6,1,23%,22.9,2.1,,DNC,.,.,1,19%,18.5,1.9,1,23%,22.7,2.1,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,21.9,1.8,1,19%,18.7,1.7,,DNC,.,.,1,18%,18.1,1.7,1,22%,22.2,1.9,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,25.9,2.4,1,26%,26.0,2.9,,DNC,.,.,1,19%,18.6,2.3,1,21%,21.3,3.1,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.0,4.4,1,26%,25.6,6.1,,DNC,.,.,1,23%,22.6,4.8,1,11%,10.5,2.7,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,23.0,3.1,1,22%,22.0,2.7,,DNC,.,.,1,17%,16.7,2.2,1,21%,21.3,2.9,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.5,1.9,1,24%,23.8,2.4,,DNC,.,.,1,20%,19.6,1.9,1,24%,24.3,2.0,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,25.0,3.4,,DNC,.,.,1,23%,23.3,2.9,1,27%,27.1,3.1,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,21%,21.1,2.0,,DNC,.,.,1,16%,16.1,1.7,1,19%,18.9,2.3,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,44%,43.6,6.8,1,15%,15.2,2.2,,DNC,.,.,1,16%,15.8,1.7,1,19%,18.8,2.3,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,42%,42.1,4.5,1,42%,41.7,2.9,,DNC,.,.,1,25%,24.9,1.7,1,31%,30.6,2.1,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,42%,42.1,5.2,1,36%,36.4,5.7,,DNC,.,.,1,25%,25.2,4.9,1,24%,23.9,3.4,---,.,.,---,.,.
              STATE:Georgia,1,28%,28.1,4.3,1,23%,22.8,2.5,1,30%,29.5,2.3,,DNC,.,.,,DNC,.,.,1,29%,28.5,1.6,,DNC,.,.,1,23%,22.7,1.5,1,30%,29.5,1.9,---,.,.,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,100.0,0.0,"2,1",DSU,62.1,0.0,"2,1",DSU,79.2,23.3,,DNC,.,.,,DNC,.,.,1,DSU,20.1,10.1,,DNC,.,.,1,DSU,54.1,15.7,1,DSU,55.0,16.8,---,.,.,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,0.0,0.0,"2,1",DSU,0.0,0.0,"2,1",DSU,55.5,12.7,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,61.9,17.6,,DNC,.,.,1,DSU,8.5,6.4,1,DSU,42.7,19.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,36.1,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Black or African American only,"2,1",26%,25.9,7.9,"2,1",16%,15.5,3.3,"2,1",28%,28.3,3.8,,DNC,.,.,,DNC,.,.,1,25%,25.2,3.0,,DNC,.,.,1,23%,22.9,2.8,1,22%,22.0,2.9,---,.,.,---,.,.
                 White only,"2,1",29%,29.0,5.1,"2,1",28%,27.8,3.6,"2,1",28%,28.4,2.7,,DNC,.,.,,DNC,.,.,1,30%,29.7,1.8,,DNC,.,.,1,23%,22.6,1.9,1,33%,33.0,2.2,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.9,6.1,,DNC,.,.,1,DSU,11.6,6.3,1,DSU,6.6,4.4,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.5,5.9,,DNC,.,.,1,DSU,4.2,3.1,1,DSU,7.9,5.5,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,,DNC,.,.,1,DSU,12.8,9.2,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,1,DSU,100.0,0.0,1,DSU,27.7,7.4,1,DSU,31.3,10.3,,DNC,.,.,,DNC,.,.,1,DSU,39.2,9.0,,DNC,.,.,1,DSU,35.1,12.8,1,DSU,36.0,11.0,---,.,.,---,.,.
                 Not Hispanic or Latino,1,28%,27.6,4.3,1,22%,22.1,2.4,1,30%,29.7,2.4,,DNC,.,.,,DNC,.,.,1,28%,28.2,1.6,,DNC,.,.,1,22%,22.2,1.5,1,29%,29.0,1.9,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",26%,25.9,7.9,"2,1",16%,15.6,3.3,"2,1",29%,28.9,3.9,,DNC,.,.,,DNC,.,.,1,25%,25.2,3.1,,DNC,.,.,1,23%,22.9,2.8,1,22%,21.9,2.8,---,.,.,---,.,.
"                    White only, not Hispanic or Latino","2,1",28%,28.3,5.1,"2,1",27%,27.0,3.6,"2,1",28%,28.2,2.8,,DNC,.,.,,DNC,.,.,1,29%,29.4,1.8,,DNC,.,.,1,22%,21.9,1.8,1,32%,32.4,2.2,---,.,.,---,.,.
                 Female,1,30%,30.5,6.7,1,27%,26.7,3.4,1,33%,33.1,3.1,,DNC,.,.,,DNC,.,.,1,28%,27.5,1.9,,DNC,.,.,1,26%,25.6,2.1,1,27%,26.9,2.0,---,.,.,---,.,.
                 Male,1,26%,26.5,5.5,1,18%,18.5,3.2,1,25%,25.5,3.4,,DNC,.,.,,DNC,.,.,1,29%,29.4,2.5,,DNC,.,.,1,20%,20.0,2.2,1,32%,31.9,3.1,---,.,.,---,.,.
                 Less than high school,1,DSU,31.8,12.6,1,18%,18.1,4.6,1,21%,21.0,3.5,,DNC,.,.,,DNC,.,.,1,15%,14.8,2.0,,DNC,.,.,1,18%,17.5,3.8,1,31%,31.2,6.1,---,.,.,---,.,.
                 High school graduate,1,DSU,29.1,7.0,1,23%,23.1,3.7,1,32%,31.9,3.9,,DNC,.,.,,DNC,.,.,1,28%,27.6,2.4,,DNC,.,.,1,22%,22.2,2.4,1,28%,28.2,3.4,---,.,.,---,.,.
                 At least some college,1,29%,29.0,6.1,1,26%,26.5,3.4,1,31%,30.7,3.4,,DNC,.,.,,DNC,.,.,1,32%,32.0,2.1,,DNC,.,.,1,24%,24.3,2.1,1,33%,32.8,2.5,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.2,3.2,,DNC,.,.,1,27%,26.9,3.2,1,33%,32.8,3.7,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,27.5,1.9,,DNC,.,.,1,21%,20.6,1.8,1,27%,27.2,2.2,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),1,21%,21.2,5.0,1,23%,22.6,2.8,1,25%,24.8,3.0,,DNC,.,.,1,23%,22.9,5.0,1,24%,24.5,2.0,,DNC,.,.,1,19%,18.8,1.8,1,24%,24.1,2.4,---,.,.,---,.,.
